participant,ethnicity,numtextchecks,numtextssent,typeoftexter,inclass,inreligserv,ondate,onphone,appropriatesum
1,White,23,1 to 25,Typical texter,2,2,5,5,14
2,White,10,1 to 25,Typical texter,2,2,5,5,14
3,Asian,7,1 to 25,Typical texter,2,2,5,5,14
4,White,16,100+,Heavy texter,3,2,4,4,13
5,White,9,26 to 50,Typical texter,4,2,4,5,15
6,Asian,10,26 to 50,Typical texter,3,5,5,5,18
7,White,4,51 to 100,Heavy texter,2,1,4,4,11
8,White,20,100+,Heavy texter,4,2,4,3,13
9,White,12,300+,Heavy texter,3,5,5,3,16
10,White,8,1 to 25,Typical texter,4,4,5,4,17
11,White,8,100+,Heavy texter,4,1,4,5,14
12,White,2,1 to 25,Typical texter,5,1,5,2,13
13,Asian,4,26 to 50,Typical texter,3,2,5,2,12
14,White,17,200+,Heavy texter,1,2,5,5,13
15,Asian,7,1 to 25,Typical texter,2,2,5,3,12
16,Hispanic,8,300+,Heavy texter,5,2,5,3,15
17,Asian,83,200+,Heavy texter,1,3,4,2,10
18,White,4,51 to 100,Heavy texter,3,2,4,1,10
19,Asian,8,26 to 50,Typical texter,4,2,5,3,14
20,White,1,100+,Heavy texter,1,2,1,4,8
21,White,8,100+,Heavy texter,3,1,5,3,12
22,Asian,31,None,Typical texter,2,1,2,4,9
23,White,13,51 to 100,Heavy texter,3,1,5,2,11
24,White,15,1 to 25,Typical texter,2,1,5,3,11
25,Asian,19,300+,Heavy texter,1,4,2,4,11
26,Not Specified,7,51 to 100,Heavy texter,4,1,2,1,8
27,White,3,26 to 50,Typical texter,2,1,5,1,9
28,White,5,51 to 100,Heavy texter,2,3,4,3,12
29,White,7,300+,Heavy texter,3,2,5,3,13
30,Asian,12,51 to 100,Heavy texter,3,1,4,1,9
31,White,13,1 to 25,Typical texter,1,2,1,2,6
32,White,5,1 to 25,Typical texter,2,3,5,1,11
33,White,18,26 to 50,Typical texter,4,2,5,2,13
34,White,2,300+,Heavy texter,2,3,4,3,12
35,Asian,5,26 to 50,Typical texter,5,2,3,3,13
36,Asian,5,100+,Heavy texter,4,3,5,2,14
37,Hispanic,1,26 to 50,Typical texter,4,2,5,5,16
38,White,4,51 to 100,Heavy texter,2,2,5,2,11
39,White,21,300+,Heavy texter,4,1,1,5,11
40,Asian,1,51 to 100,Heavy texter,1,1,4,2,8
41,White,200,26 to 50,Typical texter,1,1,4,3,9
42,Black,5,51 to 100,Heavy texter,2,5,5,4,16
43,White,1,1 to 25,Typical texter,2,2,5,5,14
44,White,66,26 to 50,Typical texter,2,3,4,4,13
45,Asian,3,26 to 50,Typical texter,2,1,4,4,11
46,Hispanic,5,26 to 50,Typical texter,5,1,5,1,12
47,White,5,1 to 25,Typical texter,4,2,5,2,13
48,White,2,1 to 25,Typical texter,2,3,5,2,12
49,Black,18,200+,Heavy texter,2,3,3,4,12
50,White,9,300+,Heavy texter,2,1,2,5,10
51,Asian,78,51 to 100,Heavy texter,4,1,1,5,11
52,Not Specified,2,51 to 100,Heavy texter,4,2,4,3,13
53,White,16,51 to 100,Heavy texter,5,1,2,3,11
54,White,49,300+,Heavy texter,2,2,4,5,13
55,White,3,1 to 25,Typical texter,4,1,5,3,13
56,White,7,1 to 25,Typical texter,3,2,2,5,12
57,White,11,300+,Heavy texter,3,2,3,3,11
58,Hispanic,5,51 to 100,Heavy texter,2,3,3,2,10
59,White,8,100+,Heavy texter,2,1,5,4,12
60,White,6,26 to 50,Typical texter,2,5,5,2,14
61,White,3,100+,Heavy texter,4,1,5,1,11
62,Asian,2,26 to 50,Typical texter,1,3,5,4,13
63,Asian,4,200+,Heavy texter,3,1,3,1,8
64,Black,9,51 to 100,Heavy texter,3,2,4,3,12
65,White,15,51 to 100,Heavy texter,1,1,4,1,7
66,White,17,200+,Heavy texter,2,1,2,4,9
67,White,9,51 to 100,Heavy texter,2,2,5,2,11
68,White,10,100+,Heavy texter,4,2,5,1,12
69,White,9,1 to 25,Typical texter,2,2,5,2,11
70,White,30,26 to 50,Typical texter,4,1,5,5,15
71,Asian,4,100+,Heavy texter,4,1,4,5,14
72,White,11,26 to 50,Typical texter,4,1,5,3,13
73,White,12,51 to 100,Heavy texter,3,3,3,4,13
74,White,14,300+,Heavy texter,4,1,4,4,13
75,Asian,12,51 to 100,Heavy texter,3,1,2,1,7
76,Black,6,100+,Heavy texter,4,1,5,3,13
77,Black,20,300+,Heavy texter,1,1,5,1,8
78,Asian,36,26 to 50,Typical texter,2,3,5,4,14
79,White,10,51 to 100,Heavy texter,2,3,4,3,12
80,White,12,26 to 50,Typical texter,2,1,5,4,12
81,White,2,100+,Heavy texter,5,2,5,3,15
82,Asian,12,51 to 100,Heavy texter,3,1,5,2,11
83,Hispanic,92,100+,Heavy texter,4,1,4,3,12
84,White,8,26 to 50,Typical texter,4,1,5,2,12
85,White,17,1 to 25,Typical texter,1,1,5,4,11
86,Asian,4,51 to 100,Heavy texter,3,1,4,4,12
87,Hispanic,16,1 to 25,Typical texter,4,2,4,1,11
88,White,13,100+,Heavy texter,4,1,4,1,10
89,White,94,300+,Heavy texter,2,1,5,4,12
90,White,35,1 to 25,Typical texter,2,1,3,3,9
91,Hispanic,88,1 to 25,Typical texter,2,1,5,3,11
92,White,13,1 to 25,Typical texter,1,1,5,4,11
93,White,15,26 to 50,Typical texter,1,4,5,3,13
94,Asian,18,200+,Heavy texter,5,1,5,2,13
95,Asian,2,200+,Heavy texter,3,1,5,3,12
96,Hispanic,8,51 to 100,Heavy texter,2,1,5,4,12
97,White,3,51 to 100,Heavy texter,4,1,5,3,13
98,White,8,None,Typical texter,2,2,4,3,11
99,Asian,11,26 to 50,Typical texter,2,2,4,5,13
100,Black,9,300+,Heavy texter,1,3,2,5,11
101,White,3,51 to 100,Heavy texter,4,1,4,3,12
102,White,16,300+,Heavy texter,2,2,3,4,11
103,White,11,51 to 100,Heavy texter,1,1,2,4,8
104,Not Specified,8,26 to 50,Typical texter,4,1,1,2,8
105,White,5,26 to 50,Typical texter,2,2,4,2,10
106,Asian,3,26 to 50,Typical texter,2,2,5,4,13
107,Asian,3,51 to 100,Heavy texter,4,1,4,2,11
108,Asian,15,200+,Heavy texter,1,1,5,4,11
109,Hispanic,11,26 to 50,Typical texter,2,1,5,2,10
110,Black,2,51 to 100,Heavy texter,4,1,4,3,12
111,Hispanic,19,1 to 25,Typical texter,3,3,4,4,14
112,White,15,26 to 50,Typical texter,3,1,4,2,10
113,Hispanic,16,200+,Heavy texter,2,1,5,1,9
114,Asian,109,200+,Heavy texter,3,1,5,3,12
115,White,16,100+,Heavy texter,2,1,4,4,11
116,White,2,51 to 100,Heavy texter,2,1,2,3,8
117,White,16,26 to 50,Typical texter,4,5,4,4,17
118,White,15,26 to 50,Typical texter,2,1,2,5,10
119,Asian,7,1 to 25,Typical texter,1,1,5,5,12
120,Not Specified,31,100+,Heavy texter,2,2,2,3,9
121,Asian,8,51 to 100,Heavy texter,1,1,3,4,9
122,Asian,13,51 to 100,Heavy texter,2,2,1,5,10
123,White,16,100+,Heavy texter,4,1,4,3,12
124,White,18,200+,Heavy texter,3,1,5,2,11
125,Asian,2,1 to 25,Typical texter,2,1,4,3,10
126,White,10,51 to 100,Heavy texter,3,1,4,3,11
127,Black,11,1 to 25,Typical texter,3,3,5,4,15
128,Asian,17,100+,Heavy texter,3,1,5,2,11
129,Asian,10,300+,Heavy texter,2,4,4,4,14
130,Black,8,200+,Heavy texter,2,1,2,3,8
131,White,8,26 to 50,Typical texter,1,2,4,4,11
132,White,21,100+,Heavy texter,4,3,5,2,14
133,Asian,16,26 to 50,Typical texter,1,1,4,3,9
134,Hispanic,7,100+,Heavy texter,2,1,5,4,12
135,White,1,1 to 25,Typical texter,3,1,3,2,9
136,Asian,10,300+,Heavy texter,5,3,4,3,15
137,Asian,4,1 to 25,Typical texter,3,1,4,3,11
138,White,10,26 to 50,Typical texter,4,1,4,2,11
139,White,11,100+,Heavy texter,4,1,4,2,11
140,White,18,26 to 50,Typical texter,5,1,3,3,12
141,White,8,51 to 100,Heavy texter,5,2,4,4,15
142,Not Specified,4,51 to 100,Heavy texter,2,2,5,2,11
143,Asian,95,1 to 25,Typical texter,3,1,2,4,10
144,Asian,18,26 to 50,Typical texter,2,2,1,2,7
145,White,10,100+,Heavy texter,3,1,3,4,11
146,White,8,1 to 25,Typical texter,3,1,2,4,10
147,Black,6,51 to 100,Heavy texter,1,1,4,2,8
148,Hispanic,1,26 to 50,Typical texter,4,2,4,3,13
149,White,15,51 to 100,Heavy texter,4,1,4,4,13

150,White,10,200+,Heavy texter,3,1,5,3,12
