"Participant","numtextchecks","numtextssent","appropriateinclass","appropriateinbathroom","appropriateinreligserv","appropriateduringsex","appropriateondate","appropriateonphone","textedinclass","textedinbathroom","textedinreligserv","textedduringsex","textedondate","textedonphone","ethnicity"
"1",23.0,"1-25",1,4,2,2,5,4,"Yes","Yes","Yes","No","No","Yes","Caucasian"
"2",10.0,"1-25",2,4,1,1,5,4,"Yes","No","No","No","Yes","Yes","Caucasian"
"3",7.0,"1-25",1,4,2,1,5,3,"Yes","Yes","No","No","Yes","Yes","Asian"
"4",16.0,"100+",3,3,2,1,4,4,"Yes","Yes","Yes","No","Yes","Yes","Caucasian"
"5",9.0,"26-50",4,3,2,1,4,5,"Yes","Yes","No","No","Yes","Yes","Caucasian"
"6",10.0,"26-50",3,3,5,2,5,1,"Yes","Yes","Yes","No","Yes","No","Asian"
"7",4.0,"51-100",2,5,1,3,4,4,"Yes","Yes","Yes","No","Yes","Yes","Caucasian"
"8",20.0,"100+",4,2,2,2,4,3,"Yes","Yes","No","No","No","Yes","Caucasian"
"9",12.0,"300+",3,4,5,1,5,3,"Yes","Yes","No","No","Yes","Yes","Caucasian"
"10",8.0,"1-25",4,4,2,1,5,4,"Yes","Yes","No","No","No","Yes","Caucasian"
"11",8.0,"100+",4,2,1,1,4,5,"Yes","Yes","No","No","Yes","Yes","Caucasian"
"12",2.0,"1-25",5,3,1,2,5,2,"No","Yes","Yes","No","Yes","Yes","Caucasian"
"13",4.0,"26-50",3,2,2,2,5,2,"Yes","Yes","No","No","Yes","Yes","Asian"
"14",17.0,"200+",1,2,2,1,5,5,"Yes","Yes","No","No","Yes","Yes","Caucasian"
"15",7.0,"1-25",2,3,2,1,5,3,"Yes","Yes","Yes","No","No","Yes","Asian"
"16",8.0,"300+",5,3,2,1,5,3,"Yes","Yes","No","No","Yes","Yes","Hispanic"
"17",83.0,"200+",1,1,3,1,4,2,"Yes","Yes","No","No","Yes","Yes","Asian"
"18",4.0,"51-100",3,5,2,1,4,1,"Yes","Yes","No","No","Yes","No","Caucasian"
"19",8.0,"26-50",4,4,2,1,5,3,"No","Yes","No","Yes","No","Yes","Asian"
"20",1.0,"100+",1,5,2,4,1,4,"Yes","Yes","No","No","Yes","Yes","Caucasian"
"21",8.0,"100+",3,4,1,1,5,3,"Yes","Yes","No","No","Yes","Yes","Caucasian"
"22",31.0,"None",2,4,1,1,2,4,"Yes","Yes","No","No","Yes","Yes","Asian"
"23",13.0,"51-100",3,5,1,1,5,2,"Yes","Yes","No","No","Yes","Yes","Caucasian"
"24",15.0,"1-25",2,5,1,2,5,3,"Yes","Yes","No","No","Yes","No","Caucasian"
"25",19.0,"300+",1,3,4,1,2,4,"Yes","Yes","No","No","Yes","Yes","Asian"
"26",7.0,"51-100",4,2,1,1,2,1,"Yes","Yes","No","No","Yes","Yes","Other"
"27",3.0,"26-50",2,2,1,1,5,1,"Yes","Yes","No","No","Yes","No","Caucasian"
"28",5.0,"51-100",2,2,3,1,4,3,"Yes","Yes","No","No","No","Yes","Caucasian"
"29",7.0,"300+",3,4,2,2,5,3,"Yes","Yes","Yes","No","Yes","No","Caucasian"
"30",12.0,"51-100",3,2,1,1,4,1,"Yes","Yes","No","No","Yes","No","Asian"
"31",13.0,"1-25",1,5,2,2,1,2,"Yes","Yes","No","No","Yes","Yes","Caucasian"
"32",5.0,"1-25",2,2,3,1,5,1,"Yes","Yes","No","No","Yes","No","Caucasian"
"33",18.0,"26-50",4,1,2,2,5,2,"Yes","Yes","No","Yes","Yes","No","Caucasian"
"34",2.0,"300+",2,4,3,1,4,3,"Yes","No","No","No","Yes","Yes","Caucasian"
"35",5.0,"26-50",5,4,2,1,3,3,"Yes","Yes","No","No","Yes","Yes","Asian"
"36",5.0,"100+",4,3,3,1,5,2,"Yes","Yes","No","No","No","Yes","Asian"
"37",1.0,"26-50",4,4,2,1,5,5,"Yes","Yes","No","No","Yes","Yes","Hispanic"
"38",4.0,"51-100",2,4,2,1,5,2,"No","Yes","Yes","No","No","No","Caucasian"
"39",21.0,"300+",4,3,1,1,1,5,"Yes","Yes","No","No","Yes","No","Caucasian"
"40",1.0,"51-100",1,4,1,1,4,2,"Yes","Yes","No","No","Yes","Yes","Asian"
"41",200.0,"26-50",1,3,1,1,4,3,"No","Yes","No","No","Yes","Yes","Caucasian"
"42",5.0,"51-100",2,5,5,1,5,4,"Yes","Yes","No","No","Yes","Yes","Black"
"43",1.0,"1-25",2,4,2,4,5,5,"No","Yes","No","No","No","No","Caucasian"
"44",66.0,"26-50",2,5,3,1,4,4,"No","No","No","No","Yes","No","Caucasian"
"45",3.0,"26-50",2,4,1,2,4,4,"Yes","Yes","No","No","Yes","Yes","Asian"
"46",5.0,"26-50",5,2,1,1,5,1,"Yes","No","No","No","Yes","No","Hispanic"
"47",5.0,"1-25",4,2,2,2,5,2,"Yes","Yes","No","No","Yes","Yes","Caucasian"
"48",2.0,"1-25",2,2,3,1,5,2,"Yes","Yes","No","No","Yes","Yes","Caucasian"
"49",18.0,"200+",2,5,3,1,3,4,"Yes","Yes","No","No","No","Yes","Black"
"50",9.0,"300+",2,4,1,2,2,5,"Yes","Yes","No","No","Yes","Yes","Caucasian"
"51",78.0,"51-100",4,4,1,2,1,5,"Yes","Yes","Yes","No","Yes","Yes","Asian"
"52",2.0,"51-100",4,4,2,1,4,3,"Yes","Yes","Yes","No","No","Yes","Other"
"53",16.0,"51-100",5,3,1,1,2,3,"Yes","No","No","No","Yes","No","Caucasian"
"54",49.0,"300+",2,3,2,1,4,5,"Yes","Yes","Yes","No","Yes","Yes","Caucasian"
"55",3.0,"1-25",4,3,1,1,5,3,"Yes","Yes","No","No","No","Yes","Caucasian"
"56",7.0,"1-25",3,4,2,1,2,5,"Yes","Yes","No","Yes","Yes","Yes","Caucasian"
"57",11.0,"300+",3,4,2,1,3,3,"Yes","Yes","No","No","Yes","Yes","Caucasian"
"58",5.0,"51-100",2,3,3,2,3,2,"Yes","No","No","No","Yes","No","Hispanic"
"59",8.0,"100+",2,1,1,4,5,4,"Yes","No","No","No","Yes","Yes","Caucasian"
"60",6.0,"26-50",2,3,5,1,5,2,"Yes","No","Yes","No","Yes","No","Caucasian"
"61",3.0,"100+",4,4,1,1,5,1,"Yes","Yes","No","No","Yes","Yes","Caucasian"
"62",2.0,"26-50",1,5,3,1,5,4,"Yes","Yes","No","No","Yes","Yes","Asian"
"63",4.0,"200+",3,3,1,4,3,1,"Yes","No","No","No","No","Yes","Asian"
"64",9.0,"51-100",3,5,2,1,4,3,"Yes","Yes","No","No","Yes","Yes","Black"
"65",15.0,"51-100",1,3,1,1,4,1,"Yes","Yes","No","No","No","Yes","Caucasian"
"66",17.0,"200+",2,2,1,1,2,4,"Yes","Yes","No","Yes","Yes","No","Caucasian"
"67",9.0,"51-100",2,4,2,1,5,2,"Yes","Yes","Yes","Yes","Yes","Yes","Caucasian"
"68",10.0,"100+",4,5,2,4,5,1,"Yes","No","No","No","Yes","No","Caucasian"
"69",9.0,"1-25",2,4,2,2,5,2,"Yes","Yes","No","Yes","Yes","Yes","Caucasian"
"70",30.0,"26-50",4,5,1,1,5,5,"Yes","Yes","No","No","Yes","Yes","Caucasian"
"71",4.0,"100+",4,5,1,2,4,5,"Yes","No","No","No","No","Yes","Asian"
"72",11.0,"26-50",4,5,1,1,5,3,"Yes","Yes","No","No","Yes","No","Caucasian"
"73",12.0,"51-100",3,3,3,1,3,4,"No","Yes","No","No","Yes","Yes","Caucasian"
"74",14.0,"300+",4,5,1,1,4,4,"Yes","Yes","Yes","No","Yes","Yes","Caucasian"
"75",12.0,"51-100",3,2,1,2,2,1,"Yes","Yes","No","No","Yes","No","Asian"
"76",6.0,"100+",4,2,1,1,5,3,"No","Yes","No","Yes","Yes","No","Black"
"77",20.0,"300+",1,5,1,1,5,1,"Yes","Yes","Yes","No","Yes","Yes","Black"
"78",36.0,"26-50",2,4,3,2,5,4,"Yes","Yes","No","No","No","Yes","Asian"
"79",10.0,"51-100",2,5,3,1,4,3,"Yes","Yes","No","No","Yes","Yes","Caucasian"
"80",12.0,"26-50",2,5,1,1,5,4,"No","No","Yes","No","Yes","Yes","Caucasian"
"81",2.0,"100+",5,3,2,1,5,3,"Yes","Yes","No","No","Yes","Yes","Caucasian"
"82",12.0,"51-100",3,5,1,3,5,2,"Yes","No","No","No","No","Yes","Asian"
"83",92.0,"100+",4,4,1,1,4,3,"Yes","Yes","No","No","Yes","Yes","Hispanic"
"84",8.0,"26-50",4,5,1,2,5,2,"Yes","No","No","No","Yes","Yes","Caucasian"
"85",17.0,"1-25",1,3,1,1,5,4,"Yes","Yes","No","No","No","Yes","Caucasian"
"86",4.0,"51-100",3,4,1,1,4,4,"Yes","Yes","No","No","Yes","Yes","Asian"
"87",16.0,"1-25",4,3,2,1,4,1,"No","Yes","No","No","Yes","Yes","Hispanic"
"88",13.0,"100+",4,2,1,2,4,1,"Yes","Yes","No","No","Yes","Yes","Caucasian"
"89",94.0,"300+",2,3,1,1,5,4,"Yes","Yes","No","No","Yes","Yes","Caucasian"
"90",35.0,"1-25",2,3,1,3,3,3,"Yes","Yes","No","No","No","Yes","Caucasian"
"91",88.0,"1-25",2,5,1,1,5,3,"Yes","Yes","Yes","No","Yes","Yes","Hispanic"
"92",13.0,"1-25",1,1,1,2,5,4,"Yes","Yes","Yes","No","Yes","Yes","Caucasian"
"93",15.0,"26-50",1,3,4,2,5,3,"Yes","No","No","No","Yes","Yes","Caucasian"
"94",18.0,"200+",5,3,1,3,5,2,"Yes","Yes","No","No","Yes","Yes","Asian"
"95",2.0,"200+",3,2,1,4,5,3,"No","Yes","No","No","Yes","No","Asian"
"96",8.0,"51-100",2,4,1,1,5,4,"Yes","No","Yes","No","No","Yes","Hispanic"
"97",3.0,"51-100",4,2,1,1,5,3,"Yes","Yes","No","Yes","Yes","Yes","Caucasian"
"98",8.0,"None",2,5,2,1,4,3,"Yes","Yes","No","Yes","Yes","No","Caucasian"
"99",11.0,"26-50",2,2,2,1,4,5,"No","Yes","Yes","No","Yes","Yes","Asian"
"100",9.0,"300+",1,3,3,2,2,5,"Yes","Yes","No","No","Yes","Yes","Black"
"101",3.0,"51-100",4,5,1,1,4,3,"Yes","Yes","No","No","Yes","Yes","Caucasian"
"102",16.0,"300+",2,5,2,1,3,4,"Yes","Yes","Yes","No","No","No","Caucasian"
"103",11.0,"51-100",1,4,1,1,2,4,"Yes","Yes","No","No","Yes","Yes","Caucasian"
"104",8.0,"26-50",4,5,1,2,1,2,"Yes","Yes","No","No","No","Yes","Other"
"105",5.0,"26-50",2,4,2,1,4,2,"Yes","Yes","No","No","No","Yes","Caucasian"
"106",3.0,"26-50",2,3,2,3,5,4,"Yes","Yes","No","No","Yes","No","Asian"
"107",3.0,"51-100",4,2,1,1,4,2,"No","Yes","Yes","No","Yes","Yes","Asian"
"108",15.0,"200+",1,3,1,2,5,4,"Yes","Yes","No","No","Yes","No","Asian"
"109",11.0,"26-50",2,4,1,1,5,2,"Yes","Yes","No","No","Yes","Yes","Hispanic"
"110",2.0,"51-100",4,3,1,1,4,3,"Yes","Yes","No","No","Yes","Yes","Black"
"111",19.0,"1-25",3,2,3,4,4,4,"Yes","No","No","No","Yes","No","Hispanic"
"112",15.0,"26-50",3,2,1,1,4,2,"Yes","Yes","Yes","No","Yes","Yes","Caucasian"
"113",16.0,"200+",2,2,1,1,5,1,"Yes","Yes","No","No","Yes","Yes","Hispanic"
"114",109.0,"200+",3,2,1,1,5,3,"Yes","Yes","No","No","Yes","Yes","Asian"
"115",16.0,"100+",2,5,1,1,4,4,"Yes","Yes","Yes","Yes","Yes","Yes","Caucasian"
"116",2.0,"51-100",2,5,1,2,2,3,"Yes","No","No","No","Yes","Yes","Caucasian"
"117",16.0,"26-50",4,5,5,1,4,4,"Yes","Yes","Yes","No","No","Yes","Caucasian"
"118",15.0,"26-50",2,4,1,2,2,5,"Yes","No","No","No","Yes","Yes","Caucasian"
"119",7.0,"1-25",1,4,1,2,5,5,"Yes","Yes","No","No","Yes","Yes","Asian"
"120",31.0,"100+",2,2,2,2,2,3,"Yes","Yes","No","No","Yes","Yes","Other"
"121",8.0,"51-100",1,2,1,2,3,4,"Yes","No","No","Yes","Yes","Yes","Asian"
"122",13.0,"51-100",2,5,2,1,1,5,"No","Yes","No","No","Yes","No","Asian"
"123",16.0,"100+",4,3,1,1,4,3,"No","Yes","No","No","No","No","Caucasian"
"124",18.0,"200+",3,4,1,1,5,2,"Yes","Yes","Yes","No","Yes","No","Caucasian"
"125",2.0,"1-25",2,3,1,1,4,3,"Yes","Yes","Yes","No","Yes","No","Asian"
"126",10.0,"51-100",3,3,1,1,4,3,"Yes","Yes","Yes","No","Yes","Yes","Caucasian"
"127",11.0,"1-25",3,3,3,3,5,4,"No","Yes","No","No","Yes","Yes","Black"
"128",17.0,"100+",3,5,1,1,5,2,"No","No","No","No","No","Yes","Asian"
"129",10.0,"300+",2,2,4,1,4,4,"Yes","Yes","No","No","Yes","Yes","Asian"
"130",8.0,"200+",2,4,1,1,2,3,"Yes","Yes","No","No","Yes","Yes","Black"
"131",8.0,"26-50",1,4,2,2,4,4,"No","Yes","No","No","Yes","Yes","Caucasian"
"132",21.0,"100+",4,4,3,4,5,2,"Yes","No","Yes","No","Yes","No","Caucasian"
"133",16.0,"26-50",1,3,1,1,4,3,"Yes","Yes","No","No","No","Yes","Asian"
"134",7.0,"100+",2,2,1,1,5,4,"Yes","Yes","No","No","Yes","Yes","Hispanic"
"135",1.0,"1-25",3,3,1,2,3,2,"Yes","Yes","No","No","Yes","No","Caucasian"
"136",10.0,"300+",5,5,3,1,4,3,"No","Yes","No","No","Yes","Yes","Asian"
"137",4.0,"1-25",3,2,1,4,4,3,"Yes","Yes","No","No","Yes","Yes","Asian"
"138",10.0,"26-50",4,4,1,1,4,2,"No","Yes","No","No","No","Yes","Caucasian"
"139",11.0,"100+",4,2,1,1,4,2,"Yes","Yes","No","No","No","Yes","Caucasian"
"140",18.0,"26-50",5,4,1,1,3,3,"No","Yes","No","No","Yes","Yes","Caucasian"
"141",8.0,"51-100",5,5,2,2,4,4,"Yes","Yes","No","No","Yes","Yes","Caucasian"
"142",4.0,"51-100",2,3,2,2,5,2,"Yes","No","No","No","Yes","No","Other"
"143",95.0,"1-25",3,5,1,1,2,4,"No","Yes","No","No","Yes","Yes","Asian"
"144",18.0,"26-50",2,1,2,2,1,2,"Yes","Yes","Yes","No","Yes","No","Asian"
"145",10.0,"100+",3,5,1,1,3,4,"Yes","Yes","No","No","No","Yes","Caucasian"
"146",8.0,"1-25",3,3,1,2,2,4,"No","No","Yes","No","Yes","Yes","Caucasian"
"147",6.0,"51-100",1,5,1,1,4,2,"Yes","No","No","No","Yes","No","Black"
"148",1.0,"26-50",4,4,2,1,4,3,"Yes","Yes","Yes","No","No","Yes","Hispanic"
"149",15.0,"51-100",4,2,1,2,4,4,"Yes","Yes","Yes","No","Yes","Yes","Caucasian"
"150",10.0,"200+",3,4,1,1,5,3,"Yes","Yes","Yes","No","Yes","No","Caucasian"
